,,,,,Turns,,,,,,,,,,,,,,,,
10,5,10,8,0,22,0,100,33,1,57,16,2,78,5,3,92,41,4,68,11, 
10,5,10,8,0,51,0,100,56,1,99,66,2,40,13,3,91,5,4,40,25, 
10,5,10,8,0,17,0,30,0,1,54,18,2,30,5,3,100,5,4,30,5, 
10,5,10,8,0,21,0,65,25,1,97,8,2,25,22,3,100,17,4,44,21, 
10,5,10,16,0,22,0,41,5,1,100,10,2,87,23,3,72,19,4,39,0, 
10,5,10,9,0,28,0,100,35,1,17,1,2,36,5,3,95,44,4,56,6, 
10,5,10,8,0,42,0,99,60,1,17,0,2,17,10,3,100,91,4,49,10, 
10,5,10,8,0,20,0,97,13,1,69,12,2,17,0,3,100,29,4,59,5, 
10,5,10,9,0,21,0,100,13,1,50,17,2,8,0,3,54,0,4,23,0, 
10,5,10,8,1,28,0,37,2,1,80,41,2,73,10,3,80,7,4,100,26, 
10,5,10,9,0,19,0,38,2,1,12,0,2,99,13,3,100,40,4,64,11, 
10,5,10,8,0,14,0,80,12,1,35,0,2,76,20,3,37,7,4,100,16, 
10,5,10,9,0,26,0,67,5,1,98,9,2,65,10,3,67,7,4,100,26, 
10,5,10,9,0,37,0,37,7,1,82,30,2,7,5,3,100,7,4,99,7, 
10,5,10,9,0,27,0,60,0,1,100,30,2,58,3,3,31,0,4,37,0, 
10,5,10,9,0,25,0,61,10,1,61,0,2,81,0,3,65,10,4,100,16, 
10,5,10,8,0,16,0,30,0,1,33,0,2,100,20,3,74,20,4,56,12, 
10,5,10,8,0,14,0,100,0,1,10,4,2,44,6,3,69,3,4,7,10, 
10,5,10,8,0,14,0,18,0,1,100,14,2,81,28,3,86,20,4,61,32, 
10,5,10,9,0,19,0,100,10,1,49,14,2,44,14,3,81,17,4,44,12, 
10,5,10,8,1,20,0,100,27,1,92,20,2,39,13,3,70,5,4,7,0, 
10,5,10,8,0,40,0,96,9,1,100,61,2,99,57,3,99,27,4,91,17, 
10,5,10,8,0,35,0,54,13,1,77,22,2,80,10,3,100,23,4,67,5, 
10,5,10,8,0,23,0,100,13,1,75,10,2,18,10,3,50,12,4,81,33, 
10,5,10,9,0,22,0,36,0,1,68,5,2,52,9,3,70,1,4,100,12, 
10,5,10,8,0,16,0,27,5,1,100,9,2,66,22,3,64,20,4,4,0, 
10,5,10,9,0,20,0,19,0,1,71,8,2,76,18,3,7,0,4,100,15, 
10,5,10,9,0,39,0,19,0,1,100,2,2,95,10,3,19,5,4,51,7, 
10,5,10,8,0,26,0,58,9,1,68,0,2,100,36,3,89,7,4,11,10, 
10,5,10,8,0,25,0,69,0,1,93,0,2,54,0,3,56,12,4,100,15, 
10,5,10,8,0,18,0,10,0,1,96,5,2,33,0,3,100,15,4,53,15, 
10,5,10,8,0,21,0,25,0,1,100,22,2,70,14,3,45,5,4,25,9, 
10,5,10,8,0,32,0,99,41,1,100,16,2,50,6,3,66,14,4,82,18, 
10,5,10,21,0,23,0,12,5,1,100,32,2,81,10,3,12,5,4,2,0, 
10,5,10,9,0,16,0,100,12,1,38,0,2,96,17,3,20,10,4,27,4, 
10,5,10,8,0,34,0,75,5,1,99,75,2,75,5,3,100,9,4,32,5, 
10,5,10,12,0,14,0,22,0,1,22,10,2,22,10,3,100,35,4,63,5, 
10,5,10,8,0,15,0,42,25,1,72,20,2,100,23,3,62,10,4,41,21, 
10,5,10,9,0,32,0,99,15,1,100,10,2,15,0,3,96,13,4,99,15, 
10,5,10,8,0,18,0,52,19,1,100,33,2,14,0,3,12,0,4,26,0, 
10,5,10,8,0,33,0,98,30,1,100,5,2,68,5,3,98,36,4,7,0, 
10,5,10,8,0,17,0,99,10,1,19,0,2,39,15,3,100,10,4,19,0, 
10,5,10,9,0,29,0,73,1,1,40,0,2,24,9,3,62,15,4,100,24, 
10,5,10,102,0,31,0,36,15,1,53,10,2,37,0,3,17,1,4,100,15, 
10,5,10,15,0,17,0,70,6,1,27,5,2,100,36,3,98,33,4,99,38, 
10,5,10,16,0,22,0,15,2,1,100,26,2,60,21,3,84,16,4,71,25, 
10,5,10,8,0,29,0,88,30,1,99,16,2,69,15,3,14,5,4,100,16, 
10,5,10,8,0,24,0,47,0,1,100,15,2,99,0,3,91,18,4,75,5, 
