,,,,,Turns,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,5,4,8,0,32,0,74,29,1,57,19,2,100,19,3,42,9,4,57,17, ,,,,,,,,,,,,,,,,,,,,,
10,5,4,9,0,48,0,100,13,1,98,12,2,73,14,3,80,33,4,88,17, ,,,,,,,,,,,,,,,,,,,,,
10,5,4,8,0,48,0,98,16,1,79,44,2,79,62,3,100,30,4,90,32, ,,,,,,,,,,,,,,,,,,,,,
10,5,4,8,0,48,0,91,14,1,56,51,2,56,6,3,82,18,4,100,29, ,,,,,,,,,,,,,,,,,,,,,
10,5,4,8,0,39,0,98,16,1,100,19,2,95,12,3,59,11,4,99,34, ,,,,,,,,,,,,,,,,,,,,,
10,5,4,8,0,44,0,88,30,1,83,39,2,53,50,3,87,39,4,100,35, ,,,,,,,,,,,,,,,,,,,,,
10,5,4,8,0,49,0,97,16,1,100,47,2,91,27,3,53,18,4,68,25, ,,,,,,,,,,,,,,,,,,,,,
10,5,4,7,0,43,0,100,19,1,58,14,2,83,19,3,93,14,4,53,8, ,,,,,,,,,,,,,,,,,,,,,
10,5,4,8,0,34,0,83,24,1,71,19,2,68,30,3,100,35,4,52,33, ,,,,,,,,,,,,,,,,,,,,,
10,5,4,9,0,39,0,100,35,1,44,0,2,51,30,3,30,9,4,89,26, ,,,,,,,,,,,,,,,,,,,,,
10,5,4,8,0,60,0,99,54,1,99,38,2,100,51,3,93,9,4,99,35, ,,,,,,,,,,,,,,,,,,,,,
10,5,4,9,0,39,0,63,18,1,50,19,2,100,8,3,60,18,4,75,16, ,,,,,,,,,,,,,,,,,,,,,
10,5,4,8,0,51,0,64,25,1,82,28,2,100,36,3,73,24,4,50,55, ,,,,,,,,,,,,,,,,,,,,,
10,5,4,8,0,41,0,52,25,1,100,25,2,67,22,3,76,43,4,52,25, ,,,,,,,,,,,,,,,,,,,,,
10,5,4,9,0,48,0,100,30,1,42,7,2,77,26,3,59,15,4,74,25, ,,,,,,,,,,,,,,,,,,,,,
10,5,4,8,0,38,0,100,28,1,39,5,2,77,19,3,54,14,4,51,13, ,,,,,,,,,,,,,,,,,,,,,
10,5,4,8,0,46,0,87,0,1,94,15,2,93,0,3,91,9,4,100,9, ,,,,,,,,,,,,,,,,,,,,,
10,5,4,8,0,43,0,83,40,1,39,44,2,100,54,3,74,61,4,56,51, ,,,,,,,,,,,,,,,,,,,,,
10,5,4,9,0,42,0,61,5,1,53,22,2,67,17,3,100,18,4,69,6, ,,,,,,,,,,,,,,,,,,,,,
10,5,4,8,1,47,0,86,16,1,39,43,2,86,21,3,100,30,4,40,15, ,,,,,,,,,,,,,,,,,,,,,
10,5,4,8,0,54,0,65,21,1,100,15,2,86,27,3,90,47,4,78,23, ,,,,,,,,,,,,,,,,,,,,,
10,5,4,9,0,36,0,58,22,1,72,12,2,68,19,3,68,20,4,100,28, ,,,,,,,,,,,,,,,,,,,,,
10,5,4,9,0,35,0,77,26,1,100,48,2,29,12,3,88,35,4,57,10, ,,,,,,,,,,,,,,,,,,,,,
10,5,4,9,0,34,0,100,5,1,72,16,2,84,25,3,91,18,4,87,14, ,,,,,,,,,,,,,,,,,,,,,
