mapLength,numberOfPlayers,diceMax,timeToBuildGame,timeToFinishGame,numberOfTurnsByPlayer,numberOfTurns,player1id,player1Pos,player1Coins,,,,,,,,,,,,,
10,5,6,9,0,24,119,0,59,0,1,8,2,2,33,0,3,100,6,4,66,5, 
10,5,6,8,0,43,212,0,89,32,1,100,21,2,64,13,3,32,33,4,75,15, 
10,5,6,8,0,41,202,0,73,15,1,100,28,2,93,27,3,24,0,4,46,11, 
10,5,6,8,0,38,189,0,96,27,1,48,15,2,47,5,3,100,5,4,39,11, 
10,5,6,8,0,21,102,0,68,5,1,100,19,2,61,18,3,30,4,4,84,34, 
10,5,6,9,0,55,272,0,99,17,1,100,6,2,82,11,3,79,26,4,80,17, 
10,5,6,9,0,45,225,0,55,14,1,90,29,2,99,12,3,77,6,4,100,5, 
10,5,6,9,0,29,143,0,90,10,1,87,15,2,100,10,3,63,17,4,61,15, 
10,5,6,9,0,24,119,0,59,19,1,46,26,2,53,27,3,100,23,4,52,0, 
10,5,6,9,1,35,175,0,57,7,1,75,13,2,63,8,3,94,13,4,100,16, 
10,5,6,9,0,36,176,0,100,52,1,37,17,2,86,21,3,62,11,4,51,25, 
10,5,6,8,0,32,159,0,54,20,1,59,23,2,78,10,3,100,39,4,83,16, 
10,5,6,8,0,39,194,0,99,41,1,98,28,2,37,8,3,100,19,4,63,5, 
